Channel Name, Start Source, End Source, Measured Time (s)
Counter 0, PCB 1, PCB 2, 2.921100E-4
Counter 1, PCB 2, PCB 3, 2.928200E-4
Counter 2, PCB 3, PCB 4, 2.937200E-4
Counter 3, PCB 4, PCB 5, 2.956700E-4
Counter 4, PCB 5, PCB 6, 3.2400E-4
